Date,Amount
2024-10-04,7808.56
2024-10-05,7774.04
2024-10-06,7794.94
2024-10-07,7794.94
2024-10-08,7778.74
2024-10-09,7700.00
2024-10-10,7676.42
2024-10-11,7724.27
2024-10-12,7821.95
2024-10-13,7818.13
2024-10-14,7818.13
2024-10-15,7801.49
2024-10-16,7841.26
2024-10-17,7872.72
2024-10-18,7917.32
2024-10-19,7988.09
2024-10-20,7999.41
2024-10-21,7998.61
2024-10-22,8016.08
2024-10-23,8072.34
2024-10-24,7986.32
2024-10-25,8050.89
2024-10-26,8070.99
2024-10-27,8088.49
2024-10-28,8088.49
2024-10-29,8068.94
2024-10-30,8148.96
2024-10-31,8197.36
2024-11-01,8084.70
2024-11-02,8087.59
2024-11-03,8074.14
2024-11-04,8074.14
2024-11-05,8073.57
2024-11-06,8081.75
2024-11-07,7946.91
2024-11-08,7987.81
2024-11-09,7958.64
2024-11-10,7956.89
2024-11-11,7956.89
2024-11-12,7749.88
2024-11-13,7723.14
2024-11-14,7662.39
2024-11-15,7640.62
2024-11-16,7612.02
2024-11-17,7618.18
2024-11-18,7618.18
2024-11-19,7732.05
2024-11-20,7785.04
2024-11-21,7828.11
2024-11-22,7911.22
2024-11-23,8010.37
2024-11-24,8029.71
2024-11-25,8029.71
2024-11-26,7742.45
2024-11-27,7769.25
2024-11-28,7816.56
2024-11-29,7826.74
2024-11-30,7876.71
2024-12-01,7863.08
2024-12-02,7863.08
2024-12-03,7833.21
2024-12-04,7856.91
2024-12-05,7879.12
2024-12-06,7802.03
2024-12-07,7836.95
2024-12-08,7825.98
2024-12-09,7825.98
2024-12-10,7908.94
2024-12-11,8007.52
2024-12-12,8074.24
2024-12-13,7974.24
2024-12-14,7889.44
2024-12-15,7883.18
2024-12-16,7883.18
2024-12-17,7889.61
2024-12-18,7870.49
2024-12-19,7853.26
2024-12-20,7748.90
2024-12-21,7831.09
2024-12-22,7819.38
2024-12-23,7819.38
2024-12-24,7799.62
2024-12-25,7816.97
2024-12-26,7824.78
2024-12-27,7872.18
2024-12-28,7844.99
2024-12-29,7858.72
2024-12-30,7858.72
2024-12-31,7809.98
2025-01-01,7876.25
2025-01-02,7882.02
2025-01-03,7968.74
2025-01-04,7925.36
2025-01-05,7926.47
2025-01-06,7926.47
2025-01-07,7923.39
